feedback_id,user_id,session_id,feedback_date,journey_stage,rating,source,feedback_text,feedback_text_clean,sentiment_score,sentiment_label,theme_navigation,theme_pricing,theme_performance,theme_product_value
F00001,U0532,S00905,2026-03-02,pricing,2,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00002,U0270,S02283,2026-03-14,pricing,1,post_session_survey,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00003,U0166,S01751,2026-03-19,entry,5,in_app,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00004,U0717,S01434,2026-03-12,entry,4,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00005,U0288,S00381,2026-03-01,product_detail,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00006,U0288,S00381,2026-03-01,product_detail,5,in_app,The showroom experience felt interactive and fun,the showroom experience felt interactive and fun,2,positive,0,0,0,1
F00007,U0324,S00141,2026-03-08,entry,4,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00008,U0299,S02078,2026-03-10,product_detail,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00009,U0011,S01439,2026-03-05,entry,1,in_app,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00010,U0434,S01694,2026-03-06,browse,4,in_app,The steps were clear and easy to follow,the steps were clear and easy to follow,2,positive,0,0,0,1
F00011,U0047,S00047,2026-03-20,entry,2,in_app,The 3D view looked interesting but performance was poor,the 3d view looked interesting but performance was poor,-1,negative,0,0,0,0
F00012,U0452,S02327,2026-03-10,entry,3,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00013,U0026,S01999,2026-03-16,entry,1,post_session_survey,It was hard to find the information I needed,it was hard to find the information i needed,-1,negative,1,0,0,0
F00014,U0147,S00520,2026-03-06,pricing,2,in_app,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00015,U0243,S00444,2026-03-19,browse,2,in_app,The 3D view looked interesting but performance was poor,the 3d view looked interesting but performance was poor,-1,negative,0,0,0,0
F00016,U0331,S00448,2026-03-10,application,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00017,U0280,S00739,2026-03-19,browse,3,post_session_survey,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00018,U0205,S01263,2026-03-04,entry,5,in_app,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00019,U0044,S01045,2026-03-20,entry,2,in_app,Pricing details were buried and took too many clicks to reach,pricing details were buried and took too many clicks to reach,-1,negative,0,1,0,0
F00020,U0652,S00709,2026-03-14,browse,2,post_session_survey,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00021,U0431,S01464,2026-03-16,product_detail,2,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00022,U0074,S00341,2026-03-17,product_detail,4,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00023,U0532,S00711,2026-03-06,product_detail,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00024,U0728,S00885,2026-03-08,entry,1,in_app,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00025,U0144,S01098,2026-03-05,browse,4,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00026,U0615,S01883,2026-03-08,product_detail,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00027,U0050,S00488,2026-03-13,pricing,4,in_app,The showroom experience felt interactive and fun,the showroom experience felt interactive and fun,2,positive,0,0,0,1
F00028,U0488,S01235,2026-03-05,entry,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00029,U0610,S01420,2026-03-20,browse,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00030,U0761,S00111,2026-03-04,browse,1,post_session_survey,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00031,U0380,S01454,2026-03-17,application,4,in_app,I liked how detailed the content was once I found it,i liked how detailed the content was once i found it,2,positive,0,0,0,1
F00032,U0628,S00417,2026-03-08,browse,1,in_app,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00033,U0397,S00158,2026-03-14,browse,1,in_app,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00034,U0662,S02279,2026-03-07,entry,2,in_app,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00035,U0624,S02317,2026-03-03,entry,1,post_session_survey,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00036,U0780,S01938,2026-03-03,browse,4,post_session_survey,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00037,U0154,S00741,2026-03-16,pricing,3,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00038,U0210,S00241,2026-03-14,pricing,5,in_app,I liked the spec panel and the experience felt engaging,i liked the spec panel and the experience felt engaging,2,positive,0,0,0,1
F00039,U0736,S01640,2026-03-05,entry,2,post_session_survey,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00040,U0573,S01062,2026-03-03,product_detail,3,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00041,U0627,S00295,2026-03-20,application,3,post_session_survey,I had trouble locating cost information quickly,i had trouble locating cost information quickly,-1,negative,0,1,0,0
F00042,U0756,S01193,2026-03-03,browse,3,post_session_survey,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00043,U0210,S00079,2026-03-06,browse,5,post_session_survey,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00044,U0130,S02185,2026-03-04,product_detail,4,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00045,U0503,S00631,2026-03-18,browse,1,in_app,The pricing page was not easy to discover,the pricing page was not easy to discover,1,positive,0,1,0,0
F00046,U0707,S01587,2026-03-09,entry,2,in_app,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00047,U0648,S00759,2026-03-15,entry,2,in_app,The pricing page was not easy to discover,the pricing page was not easy to discover,1,positive,0,1,0,0
F00048,U0407,S01250,2026-03-01,product_detail,2,in_app,The pricing page was not easy to discover,the pricing page was not easy to discover,1,positive,0,1,0,0
F00049,U0441,S01315,2026-03-04,browse,4,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00050,U0301,S00450,2026-03-10,browse,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00051,U0521,S02326,2026-03-19,entry,3,in_app,It was hard to find pricing information,it was hard to find pricing information,-1,negative,1,1,0,0
F00052,U0422,S01856,2026-03-19,product_detail,2,in_app,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00053,U0352,S02258,2026-03-12,entry,3,in_app,The pricing page was not easy to discover,the pricing page was not easy to discover,1,positive,0,1,0,0
F00054,U0736,S02148,2026-03-08,browse,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00055,U0538,S01432,2026-03-16,product_detail,4,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00056,U0222,S02215,2026-03-07,entry,1,in_app,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00057,U0769,S00219,2026-03-16,entry,3,post_session_survey,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00058,U0001,S00479,2026-03-06,entry,1,in_app,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00059,U0723,S00108,2026-03-19,product_detail,4,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00060,U0207,S00788,2026-03-05,entry,4,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00061,U0189,S00938,2026-03-15,entry,3,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00062,U0295,S00658,2026-03-16,entry,2,post_session_survey,It was hard to find the information I needed,it was hard to find the information i needed,-1,negative,1,0,0,0
F00063,U0410,S01989,2026-03-09,browse,1,post_session_survey,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00064,U0626,S00861,2026-03-02,browse,2,in_app,Pricing details were buried and took too many clicks to reach,pricing details were buried and took too many clicks to reach,-1,negative,0,1,0,0
