session_id,user_id,user_type,device_type,region,num_events,session_start_time,session_end_time,session_length_sec,viewed_3d_flag,viewed_specs_flag,viewed_pricing_flag,application_intent_flag,dropoff_stage
S00001,U0122,new,desktop,East,3,2026-03-16 12:29:35,2026-03-16 12:29:51,15,0,0,0,0,entry
S00002,U0425,new,mobile,West,4,2026-03-06 22:39:35,2026-03-06 22:40:15,39,0,0,0,0,browse
S00003,U0528,new,desktop,East,3,2026-03-03 02:38:43,2026-03-03 02:39:55,72,0,0,0,0,entry
S00004,U0003,new,desktop,East,5,2026-03-01 17:21:29,2026-03-01 17:22:49,80,0,0,0,0,product_detail
S00005,U0204,new,desktop,West,6,2026-03-01 15:27:29,2026-03-01 15:30:17,168,0,0,1,0,pricing
S00006,U0181,returning,mobile,East,7,2026-03-11 21:40:59,2026-03-11 21:43:15,135,0,1,1,0,pricing
S00007,U0622,new,desktop,North,3,2026-03-04 18:34:24,2026-03-04 18:35:06,42,0,0,0,0,entry
S00008,U0752,new,desktop,West,4,2026-03-03 06:01:42,2026-03-03 06:02:46,63,0,0,0,0,browse
S00009,U0072,new,mobile,North,3,2026-03-15 15:41:45,2026-03-15 15:42:11,25,0,0,0,0,entry
S00010,U0561,returning,mobile,South,3,2026-03-14 00:22:31,2026-03-14 00:23:10,38,0,0,0,0,entry
S00011,U0044,new,mobile,South,3,2026-03-14 09:35:13,2026-03-14 09:36:19,66,0,0,0,0,entry
S00012,U0311,returning,desktop,South,7,2026-03-09 18:40:03,2026-03-09 18:41:53,110,1,1,0,0,product_detail
S00013,U0192,new,mobile,South,5,2026-03-06 15:36:37,2026-03-06 15:38:09,92,0,0,0,0,product_detail
S00014,U0493,new,mobile,East,3,2026-03-09 20:31:48,2026-03-09 20:32:29,40,0,0,0,0,entry
S00015,U0091,new,mobile,North,8,2026-03-06 02:02:48,2026-03-06 02:06:20,212,1,1,0,1,application
S00016,U0051,returning,mobile,East,4,2026-03-04 23:11:19,2026-03-04 23:12:41,81,0,0,0,0,browse
S00017,U0043,new,mobile,South,6,2026-03-17 16:53:00,2026-03-17 16:54:46,105,1,0,0,0,product_detail
S00018,U0323,new,mobile,North,6,2026-03-20 12:58:23,2026-03-20 13:00:02,99,1,0,0,0,product_detail
S00019,U0017,new,mobile,East,3,2026-03-18 10:12:55,2026-03-18 10:13:36,40,0,0,0,0,entry
S00020,U0556,returning,mobile,East,8,2026-03-13 02:49:23,2026-03-13 02:52:14,170,1,0,1,1,application
S00021,U0583,returning,mobile,East,5,2026-03-14 01:58:37,2026-03-14 02:00:50,133,0,0,0,0,product_detail
S00022,U0527,returning,mobile,West,7,2026-03-09 18:52:41,2026-03-09 18:54:38,117,1,0,1,0,pricing
S00023,U0594,returning,mobile,South,3,2026-03-04 17:02:11,2026-03-04 17:03:09,58,0,0,0,0,entry
S00024,U0792,new,mobile,West,3,2026-03-15 11:26:00,2026-03-15 11:26:36,36,0,0,0,0,entry
S00025,U0462,returning,mobile,East,4,2026-03-15 11:07:48,2026-03-15 11:09:18,89,0,0,0,0,browse
S00026,U0288,returning,desktop,South,6,2026-03-01 06:41:17,2026-03-01 06:43:37,140,0,1,0,0,product_detail
S00027,U0732,new,desktop,West,3,2026-03-08 02:58:34,2026-03-08 02:59:19,44,0,0,0,0,entry
S00028,U0631,returning,mobile,East,7,2026-03-01 01:53:25,2026-03-01 01:56:06,161,1,1,0,0,product_detail
S00029,U0701,returning,desktop,West,6,2026-03-16 12:12:54,2026-03-16 12:15:08,133,1,0,0,0,product_detail
S00030,U0395,new,mobile,South,6,2026-03-14 02:12:39,2026-03-14 02:15:01,141,0,0,1,0,pricing
S00031,U0565,new,mobile,North,3,2026-03-03 17:10:03,2026-03-03 17:10:53,50,0,0,0,0,entry
S00032,U0226,new,mobile,East,4,2026-03-02 09:44:37,2026-03-02 09:45:45,67,0,0,0,0,browse
S00033,U0599,new,mobile,West,4,2026-03-18 18:22:01,2026-03-18 18:23:22,81,0,0,0,0,browse
S00034,U0063,returning,desktop,East,6,2026-03-04 02:47:36,2026-03-04 02:50:00,143,0,0,0,1,application
S00035,U0203,new,mobile,West,3,2026-03-11 06:29:44,2026-03-11 06:30:39,54,0,0,0,0,entry
S00036,U0460,new,mobile,West,4,2026-03-18 07:19:22,2026-03-18 07:20:59,96,0,0,0,0,browse
S00037,U0622,new,desktop,North,6,2026-03-11 15:12:42,2026-03-11 15:14:39,117,0,1,0,0,product_detail
S00038,U0534,new,mobile,South,3,2026-03-09 04:56:56,2026-03-09 04:57:42,45,0,0,0,0,entry
S00039,U0118,new,desktop,East,3,2026-03-06 14:03:05,2026-03-06 14:04:04,59,0,0,0,0,entry
S00040,U0315,new,mobile,East,6,2026-03-02 17:21:23,2026-03-02 17:22:46,82,1,0,0,0,product_detail
S00041,U0163,returning,mobile,East,6,2026-03-02 17:16:38,2026-03-02 17:18:46,127,0,0,0,1,application
S00042,U0212,new,mobile,East,6,2026-03-04 05:04:38,2026-03-04 05:07:25,167,0,1,0,0,product_detail
S00043,U0191,new,mobile,East,3,2026-03-05 14:55:18,2026-03-05 14:55:38,20,0,0,0,0,entry
S00044,U0404,new,mobile,North,3,2026-03-09 14:23:35,2026-03-09 14:24:36,61,0,0,0,0,entry
S00045,U0206,returning,mobile,North,3,2026-03-18 16:43:02,2026-03-18 16:43:54,51,0,0,0,0,entry
S00046,U0274,new,mobile,East,3,2026-03-03 09:19:57,2026-03-03 09:20:33,36,0,0,0,0,entry
S00047,U0047,new,mobile,West,3,2026-03-20 10:22:44,2026-03-20 10:23:13,29,0,0,0,0,entry
S00048,U0325,new,mobile,South,3,2026-03-05 14:48:16,2026-03-05 14:49:26,70,0,0,0,0,entry
S00049,U0385,new,desktop,East,3,2026-03-11 05:45:49,2026-03-11 05:46:25,36,0,0,0,0,entry
S00050,U0204,new,desktop,West,6,2026-03-07 01:31:22,2026-03-07 01:32:58,96,0,1,0,0,product_detail
S00051,U0314,new,mobile,South,3,2026-03-14 02:54:55,2026-03-14 02:55:08,13,0,0,0,0,entry
S00052,U0176,new,mobile,North,3,2026-03-05 00:52:59,2026-03-05 00:54:04,64,0,0,0,0,entry
S00053,U0424,new,mobile,North,6,2026-03-06 04:31:00,2026-03-06 04:32:22,81,0,1,0,0,product_detail
S00054,U0601,new,mobile,North,4,2026-03-07 10:29:31,2026-03-07 10:30:57,86,0,0,0,0,browse
S00055,U0004,returning,mobile,East,7,2026-03-17 01:34:04,2026-03-17 01:35:54,110,0,1,1,0,pricing
S00056,U0655,new,mobile,West,4,2026-03-18 20:35:52,2026-03-18 20:37:01,68,0,0,0,0,browse
S00057,U0487,returning,mobile,North,7,2026-03-02 05:12:36,2026-03-02 05:15:25,168,0,1,1,0,pricing
S00058,U0613,new,mobile,East,4,2026-03-02 22:40:05,2026-03-02 22:41:10,64,0,0,0,0,browse
S00059,U0464,returning,desktop,West,7,2026-03-17 09:20:23,2026-03-17 09:23:02,158,1,0,1,0,pricing
S00060,U0102,new,desktop,North,7,2026-03-01 23:09:04,2026-03-01 23:12:24,200,1,0,1,0,pricing
S00061,U0058,returning,mobile,West,4,2026-03-07 07:54:25,2026-03-07 07:55:25,59,0,0,0,0,browse
S00062,U0078,returning,mobile,North,6,2026-03-10 14:33:43,2026-03-10 14:36:00,137,0,0,1,0,pricing
