feedback_id,user_id,session_id,feedback_date,journey_stage,rating,feedback_text,source
F00001,U0532,S00905,2026-03-02,pricing,2,I wanted to see pricing earlier in the journey,in_app
F00002,U0270,S02283,2026-03-14,pricing,1,Loading felt too slow and made the experience frustrating,post_session_survey
F00003,U0166,S01751,2026-03-19,entry,5,The product information was clear and easy to explore,in_app
F00004,U0717,S01434,2026-03-12,entry,4,The app worked fine but did not stand out,in_app
F00005,U0288,S00381,2026-03-01,product_detail,3,The app worked fine but did not stand out,in_app
F00006,U0288,S00381,2026-03-01,product_detail,5,The showroom experience felt interactive and fun,in_app
F00007,U0324,S00141,2026-03-08,entry,4,I found some information but did not continue further,in_app
F00008,U0299,S02078,2026-03-10,product_detail,3,Some parts were useful but others were average,in_app
F00009,U0011,S01439,2026-03-05,entry,1,The journey felt unclear and I was not sure where to go next,in_app
F00010,U0434,S01694,2026-03-06,browse,4,The steps were clear and easy to follow,in_app
F00011,U0047,S00047,2026-03-20,entry,2,The 3D view looked interesting but performance was poor,in_app
F00012,U0452,S02327,2026-03-10,entry,3,The experience was okay overall,in_app
F00013,U0026,S01999,2026-03-16,entry,1,It was hard to find the information I needed,post_session_survey
F00014,U0147,S00520,2026-03-06,pricing,2,Navigation was confusing and I could not figure out the next step,in_app
F00015,U0243,S00444,2026-03-19,browse,2,The 3D view looked interesting but performance was poor,in_app
F00016,U0331,S00448,2026-03-10,application,3,The app worked fine but did not stand out,in_app
F00017,U0280,S00739,2026-03-19,browse,3,The app worked fine but did not stand out,post_session_survey
F00018,U0205,S01263,2026-03-04,entry,5,The product information was clear and easy to explore,in_app
F00019,U0044,S01045,2026-03-20,entry,2,Pricing details were buried and took too many clicks to reach,in_app
F00020,U0652,S00709,2026-03-14,browse,2,There was too much lag during the early part of the session,post_session_survey
F00021,U0431,S01464,2026-03-16,product_detail,2,The app was slow and laggy on my phone,in_app
F00022,U0074,S00341,2026-03-17,product_detail,4,I looked through a few sections and then left,in_app
F00023,U0532,S00711,2026-03-06,product_detail,3,The app worked fine but did not stand out,in_app
F00024,U0728,S00885,2026-03-08,entry,1,The menu layout was not intuitive for a first-time user,in_app
F00025,U0144,S01098,2026-03-05,browse,4,The experience was okay overall,in_app
F00026,U0615,S01883,2026-03-08,product_detail,3,Some parts were useful but others were average,in_app
F00027,U0050,S00488,2026-03-13,pricing,4,The showroom experience felt interactive and fun,in_app
F00028,U0488,S01235,2026-03-05,entry,3,I looked through a few sections and then left,in_app
F00029,U0610,S01420,2026-03-20,browse,3,The app worked fine but did not stand out,in_app
F00030,U0761,S00111,2026-03-04,browse,1,I kept clicking around and still could not find the pricing page,post_session_survey
F00031,U0380,S01454,2026-03-17,application,4,I liked how detailed the content was once I found it,in_app
F00032,U0628,S00417,2026-03-08,browse,1,I kept clicking around and still could not find the pricing page,in_app
F00033,U0397,S00158,2026-03-14,browse,1,Loading felt too slow and made the experience frustrating,in_app
F00034,U0662,S02279,2026-03-07,entry,2,Navigation was confusing and I could not figure out the next step,in_app
F00035,U0624,S02317,2026-03-03,entry,1,The menu layout was not intuitive for a first-time user,post_session_survey
F00036,U0780,S01938,2026-03-03,browse,4,The product information was clear and easy to explore,post_session_survey
F00037,U0154,S00741,2026-03-16,pricing,3,I found some information but did not continue further,in_app
F00038,U0210,S00241,2026-03-14,pricing,5,I liked the spec panel and the experience felt engaging,in_app
F00039,U0736,S01640,2026-03-05,entry,2,There was too much lag during the early part of the session,post_session_survey
F00040,U0573,S01062,2026-03-03,product_detail,3,The experience was okay overall,in_app
F00041,U0627,S00295,2026-03-20,application,3,I had trouble locating cost information quickly,post_session_survey
F00042,U0756,S01193,2026-03-03,browse,3,Some parts were useful but others were average,post_session_survey
F00043,U0210,S00079,2026-03-06,browse,5,The product information was clear and easy to explore,post_session_survey
F00044,U0130,S02185,2026-03-04,product_detail,4,Some parts were useful but others were average,in_app
F00045,U0503,S00631,2026-03-18,browse,1,The pricing page was not easy to discover,in_app
F00046,U0707,S01587,2026-03-09,entry,2,There was too much lag during the early part of the session,in_app
F00047,U0648,S00759,2026-03-15,entry,2,The pricing page was not easy to discover,in_app
F00048,U0407,S01250,2026-03-01,product_detail,2,The pricing page was not easy to discover,in_app
F00049,U0441,S01315,2026-03-04,browse,4,The app worked fine but did not stand out,in_app
F00050,U0301,S00450,2026-03-10,browse,3,Some parts were useful but others were average,in_app
F00051,U0521,S02326,2026-03-19,entry,3,It was hard to find pricing information,in_app
F00052,U0422,S01856,2026-03-19,product_detail,2,The menu layout was not intuitive for a first-time user,in_app
F00053,U0352,S02258,2026-03-12,entry,3,The pricing page was not easy to discover,in_app
F00054,U0736,S02148,2026-03-08,browse,3,I looked through a few sections and then left,in_app
F00055,U0538,S01432,2026-03-16,product_detail,4,Some parts were useful but others were average,in_app
F00056,U0222,S02215,2026-03-07,entry,1,Navigation was confusing and I could not figure out the next step,in_app
F00057,U0769,S00219,2026-03-16,entry,3,Some parts were useful but others were average,post_session_survey
F00058,U0001,S00479,2026-03-06,entry,1,I kept clicking around and still could not find the pricing page,in_app
F00059,U0723,S00108,2026-03-19,product_detail,4,The app worked fine but did not stand out,in_app
F00060,U0207,S00788,2026-03-05,entry,4,I looked through a few sections and then left,in_app
F00061,U0189,S00938,2026-03-15,entry,3,I found some information but did not continue further,in_app
F00062,U0295,S00658,2026-03-16,entry,2,It was hard to find the information I needed,post_session_survey
F00063,U0410,S01989,2026-03-09,browse,1,The journey felt unclear and I was not sure where to go next,post_session_survey
F00064,U0626,S00861,2026-03-02,browse,2,Pricing details were buried and took too many clicks to reach,in_app
F00065,U0756,S00682,2026-03-08,product_detail,5,The 3D model was realistic and useful,in_app
F00066,U0005,S01306,2026-03-07,entry,2,The page response time felt slow on mobile,post_session_survey
F00067,U0207,S00345,2026-03-13,entry,1,The page response time felt slow on mobile,in_app
F00068,U0041,S01921,2026-03-12,browse,2,The 3D view looked interesting but performance was poor,in_app
F00069,U0408,S00182,2026-03-13,entry,1,It was hard to find the information I needed,in_app
F00070,U0736,S02367,2026-03-04,entry,3,I found some information but did not continue further,post_session_survey
F00071,U0131,S01850,2026-03-11,browse,1,The journey felt unclear and I was not sure where to go next,post_session_survey
